Country,Year,ISO3166_alpha3,ISO3166_numeric,Region,SubRegion,OPEC,EU,OECD,CIS,Category,Value
Argentina,1970,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1971,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1972,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1973,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1974,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1975,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1976,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1977,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1978,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1979,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1980,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1981,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1982,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1983,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1984,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1985,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1986,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1987,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1988,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1989,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1990,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1991,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1992,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1993,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1994,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1995,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0
Argentina,1996,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0.009618
Argentina,1997,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0.014592
Argentina,1998,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0.032541
Argentina,1999,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0.034781
Argentina,2000,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0.034758
Argentina,2001,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0.049361
Argentina,2002,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0.073405
Argentina,2003,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0.077954
Argentina,2004,ARG,32,S. & Cent. America,South America,0,0,0,0,wind_twh,0.072446
